bairro,grau
recife,1
santo amaro,1
boa vista,4
cabanga,1
ilha do leite,2
paissandu,2
santo antonio,2
sao jose,2
soledade,1
coelhos,1
ilha joana bezerra,1
arruda,4
campina do barreto,2
campo grande,6
encruzilhada,5
hipodromo,3
peixinhos,3
ponto de parada,5
rosarinho,2
torreao,2
agua fria,4
alto santa terezinha,2
bomba do hemeterio,2
cajueiro,2
fundao,3
porto da madeira,3
beberibe,2
dois unidos,2
linha do tiro,2
aflitos,2
alto do mandu,3
apipucos,3
casa amarela,6
casa forte,4
derby,1
dois irmaos,2
espinheiro,2
gracas,5
jaqueira,4
monteiro,4
parnamirim,5
poco,4
santana,4
sitio dos pintos,1
tamarineira,4
alto jose bonifacio,3
alto jose do pinho,3
mangabeira,1
morro da conceicao,3
vasco da gama,2
brejo da guabiraba,5
brejo do beberibe,3
corrego do jenipapo,4
guabiraba,4
macaxeira,2
nova descoberta,4
passarinho,3
pau-ferro,1
cordeiro,4
ilha do retiro,2
iputinga,1
madalena,4
prado,4
torre,3
zumbi,4
engenho do meio,1
torroes,1
caxanga,1
cidade universitaria,1
varzea,2
afogados,3
bongi,3
mangueira,3
mustardinha,4
san martin,3
areias,3
cacote,1
estancia,2
jiquia,2
barro,2
coqueiral,3
curado,4
jardim sao paulo,3
sancho,4
tejipio,5
toto,3
boa viagem,2
brasilia teimosa,1
imbiribeira,3
ipsep,1
pina,3
ibura,1
jordao,1
cohab,0
